# One-parameter sweeps at theta=0.25. convergence.py / convergence.json
parameter,value,tau_c_GPa,sem_GPa,n
dx_grid,0.05,1.4148,0.0813,4
dx_grid,0.1,1.4148,0.0813,4
dx_grid,0.2,1.4148,0.0813,4
dx_grid,0.4,1.4068,0.0808,4
dx_grid,0.8,1.3948,0.0796,4
n_tau,125.0,1.4355,0.0888,4
n_tau,250.0,1.4137,0.0798,4
n_tau,500.0,1.4148,0.0813,4
n_tau,1000.0,1.4094,0.0809,4
n_tau,2000.0,1.4057,0.0816,4
R_keep,20.0,1.3747,0.1019,4
R_keep,30.0,1.4068,0.0849,4
R_keep,40.0,1.3948,0.0866,4
R_keep,60.0,1.4148,0.0813,4
R_keep,85.0,1.4188,0.0781,4
Nz,32.0,1.6232,0.0764,4
Nz,64.0,1.4429,0.0799,4
Nz,128.0,1.4148,0.0813,4
Nz,256.0,1.2986,0.0582,4
Nz,512.0,1.1904,0.0694,4
