# tau_c ~ U_cap^0.91 (aniso, theta=0.25). Isotropic elasticity overestimates by 9-15 % at theta=0.25. sensitivity.py
field,theta,U_cap_eV,tau_c_GPa,tau_c_sd_GPa
aniso,0.0,0.3,0.812,0.093
aniso,0.0,0.5,1.22,0.13
aniso,0.0,0.7,1.148,0.104
aniso,0.0,1.0,0.914,0.31
aniso,0.0,1.5,1.278,0.116
aniso,0.25,0.3,0.385,0.045
aniso,0.25,0.5,0.906,0.098
aniso,0.25,0.7,1.234,0.079
aniso,0.25,1.0,1.399,0.146
aniso,0.25,1.5,1.788,0.164
iso,0.25,0.3,0.441,0.054
iso,0.25,0.5,1.01,0.101
iso,0.25,0.7,1.391,0.133
iso,0.25,1.0,1.579,0.144
iso,0.25,1.5,1.948,0.092
